orden,parte,descripcion,und_prg,t_est,destino,modulo,operario,ruta,f_inicio,h_inicio,f_fin,h_fin,t_total,u_primera,u_segunda,comentario,rendimiento
OTC2049000422,RTC-06BSP-33381,CORTE PLUMON MICRO UNIC TEXTIL KING BLANCO,20,8,"5,BASICOS MAYO",12,616,A000-Corte,2022/05/02,06:26,2022/05/02,07:52,86.0,20,0,,93.0
OTC2049000422,RTC-06BSP-33381,CORTE PLUMON MICRO UNIC TEXTIL KING BLANCO,20,8,"5,BASICOS MAYO",12,561,A000-Corte,2022/05/02,06:26,2022/05/02,07:52,86.0,20,0,,93.0
OTC2048170422,RTC-06BSP-28094,CORTE FORRO PLUMON MICRO UNIC KING  BLANCO,20,7.2,"5,BASICOS MAYO",15,562,A000-Corte,2022/05/02,06:24,2022/05/02,08:03,99.0,20,0,ORDEN PEQUEÑA,72.7
OTC2048170422,RTC-06BSP-28094,CORTE FORRO PLUMON MICRO UNIC KING  BLANCO,20,7.2,"5,BASICOS MAYO",15,568,A000-Corte,2022/05/02,06:24,2022/05/02,08:03,99.0,20,0,ORDEN PEQUEÑA,72.7
OTC2038400322,RTC-03ABR-16429,CORTE PQT PROTECTOR COLCHON/ALMH REPUJADO DOBLE,57,8.15,"15,SEMANA 2 ABRIL",11,420,A000-Corte,2022/05/02,06:09,2022/05/02,08:06,117.0,57,0,,99.3
OTC2038400322,RTC-03ABR-16429,CORTE PQT PROTECTOR COLCHON/ALMH REPUJADO DOBLE,57,8.15,"15,SEMANA 2 ABRIL",11,706,A000-Corte,2022/05/02,06:09,2022/05/02,08:06,117.0,57,0,,99.3
OTC2038400322,RTC-03ABR-16429,CORTE PQT PROTECTOR COLCHON/ALMH REPUJADO DOBLE,57,8.15,"15,SEMANA 2 ABRIL",11,201,A000-Corte,2022/05/02,06:09,2022/05/02,08:06,117.0,57,0,,99.3
OTC2038400322,RTC-03ABR-16429,CORTE PQT PROTECTOR COLCHON/ALMH REPUJADO DOBLE,57,8.15,"15,SEMANA 2 ABRIL",11,739,A000-Corte,2022/05/02,06:09,2022/05/02,08:06,117.0,57,0,,99.3
OTC2047740422,RTC-03BSP-27902,CORTE COBIJA FLANNEL UNIC DOBLE GRIS CLARO,140,4,BASICOS MAYO,3,210,A000-Corte,2022/05/02,06:01,2022/05/02,08:36,155.0,74,0,,95.5
OTC2047740422,RTC-03BSP-27902,CORTE COBIJA FLANNEL UNIC DOBLE GRIS CLARO,140,4,BASICOS MAYO,3,668,A000-Corte,2022/05/02,06:01,2022/05/02,08:36,155.0,74,0,,95.5
OTC2043190322,RTC-03OUT-34790,CORTE CUBRELECHO MICRO DOBLE FAZ DOBLE BLANC MENTA/LILA NUB,42,6.5,LIQ. CUBRELECHO Y PLUMON,13,159,A000-Corte,2022/05/02,06:11,2022/05/02,08:37,146.0,42,0,,93.5
OTC2043190322,RTC-03OUT-34790,CORTE CUBRELECHO MICRO DOBLE FAZ DOBLE BLANC MENTA/LILA NUB,42,6.5,LIQ. CUBRELECHO Y PLUMON,13,591,A000-Corte,2022/05/02,06:11,2022/05/02,08:37,146.0,42,0,,93.5
