AVG(rendimiento),AVG(u_primera),AVG(u_segunda),COUNT(operario),f_inicio,f_fin,orden,u_primera,u_segunda,rendimiento
78.6,43,0,2,2022/05/09,2022/05/10,OTO2065180422,43,,78.6
70.1,1020,0,3,2022/05/09,2022/05/10,OTO2045350422,1020,,70.1
66.2,50,0,7,2022/05/09,2022/05/10,OTO2063900422,50,,66.2
41.60000000000001,50,0,11,2022/05/09,2022/05/10,OTO2063900422,50,,41.6
90.3,10,0,1,2022/05/09,2022/05/10,OTO2047740422,10,,90.3
103.79999999999998,30,0,9,2022/05/09,2022/05/10,OTO2062920422,30,,103.8
73.3,53,0,2,2022/05/09,2022/05/10,OTO2065220422,53,,73.3
55.5,34,0,9,2022/05/09,2022/05/10,OTO2033520322,34,,55.5
144.5,3,0,1,2022/05/10,2022/05/10,OTO2065160422,3,,144.5
74.5,1,0,1,2022/05/10,2022/05/10,OTO2063760422,1,,74.5
89.89999999999999,10,0,8,2022/05/10,2022/05/10,OTO2005850222,10,,89.9
49.4,947,0,4,2022/05/10,2022/05/10,OTO2045350422,947,,49.4
66,35,0,2,2022/05/10,2022/05/10,OTO2064420422,35,,66.0
81.5,51,0,4,2022/05/10,2022/05/10,OTO2065260422,51,,81.5
89.89999999999999,29,0,9,2022/05/10,2022/05/10,OTO2050970422,29,,89.9
43.10000000000001,80,0,7,2022/05/10,2022/05/10,OTO2026250222S,80,,43.1
58.6,300,0,2,2022/05/10,2022/05/10,OTO2053850522,300,,58.6
0,0,0,1,2022/05/10,2022/05/10,OTO2006190222E2,0,,0.0
59.5,3,0,7,2022/05/10,2022/05/10,OTO2071450522,3,,59.5
109.6,20,0,2,2022/05/10,2022/05/10,OTO2064430422,20,,109.6
61.4,13,0,1,2022/05/10,2022/05/10,OTO2063870422,13,,61.4
84.10000000000001,34,0,9,2022/05/10,2022/05/10,OTO2062870422,34,,84.1
54.800000000000004,20,0,8,2022/05/10,2022/05/10,OTO2033560322,20,,54.8
97.29999999999998,10,0,8,2022/05/10,2022/05/10,OTO2005850222,10,,97.3
90.39999999999999,60,0,8,2022/05/10,2022/05/10,OTO2033570322,60,,90.4
59.89999999999999,28,0,8,2022/05/10,2022/05/10,OTO2005850222,28,,59.9
18.599999999999998,10,0,7,2022/05/10,2022/05/10,OTO2063890422,10,,18.6
0,0,0,2,2022/05/10,2022/05/10,OTO2065260422,0,,0.0
96.79999999999998,54,0,8,2022/05/10,2022/05/10,OTO2050960422,54,,96.8
64.7,30,0,2,2022/05/10,2022/05/10,OTO2064410422,30,,64.7
20.7,859,0,8,2022/05/10,2022/05/10,OTO2045350422,859,,20.7
0,0,0,7,2022/05/10,2022/05/10,OTO2033660322,0,,0.0
86.70000000000002,18,0,8,2022/05/10,2022/05/10,OTO2071420522,18,,86.7
0,0,0,1,2022/05/10,2022/05/10,OTO2064450422,0,,0.0
49.300000000000004,29,0,7,2022/05/10,2022/05/10,OTO2005820222,29,,49.3
71.3,66,0,4,2022/05/10,2022/05/10,OTO2065100422,66,,71.3
111.8,30,0,2,2022/05/10,2022/05/10,OTO2065090422,30,,111.8
77.6,95,0,5,2022/05/10,2022/05/10,OTO2065170422,95,,77.6
27.5,26,0,9,2022/05/10,2022/05/10,OTO2033490322,26,,27.5
12.799999999999999,21,0,10,2022/05/10,2022/05/10,OTO2033500322,21,,12.8
48.699999999999996,147,0,6,2022/05/10,2022/05/10,OTO2065210422,147,,48.7
83.3,12,0,8,2022/05/10,2022/05/10,OTO2071440522,12,,83.3
119.8,37,0,2,2022/05/10,2022/05/10,OTO2006380222,37,,119.8
46.2,15,0,2,2022/05/10,2022/05/10,OTO2064440422,15,,46.2
204.1,18,0,6,2022/05/10,2022/05/10,OTO2063750422,18,,204.1
64.7,12,0,1,2022/05/10,2022/05/10,OTP2064540422,12,,64.7
72.2,12,0,8,2022/05/10,2022/05/10,OTO2071410522,12,,72.2
68.2,14,0,2,2022/05/10,2022/05/10,OTP2035600322,14,,68.2
